"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","LTM Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Total Debt","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"Rapid7","RPD","$19.63","$1,271,000,000","Jun 2025","$214,190,000","$856,760,000","$855,361,000","2.98%","1.48","64,747,835","2015","2000","Alan Matthews, Tas Giakouminakis","Boston, Massachusetts, United States","$15,070,000","$60,280,000","-6.38%","7.04%","$8,340,000","$33,360,000","27.53%","3.89%","$511,740,000","15.61%","$1,018,174,000.00","Bain Capital Ventures, Technology Crossover Ventures","N/A","2413","$355,100","Cybersecurity solutions, including vulnerability management, incident detection and response, and security analytics","","","http://www.rapid7.com","http://investors.rapid7.com","https://www.sec.gov/Archives/edgar/data/1560327/000119312515220243/d908531ds1.htm","https://www.sec.gov/Archives/edgar/data/1560327/000156032724000021/rp-20231231.htm"
"RingCentral","RNG","$31.21","$2,826,000,000","Jun 2025","$620,400,000","$2,481,600,000","$2,455,731,000","4.64%","1.14","90,547,901","2013","1999","Vlad Shmunis","Belmont, California, United States","$94,700,000","$378,800,000","81.54%","15.26%","$13,190,000","$52,760,000","189.43%","2.13%","$168,110,000","-15.66%","$1,579,311,000.00","Sequoia Capital, Khosla Ventures","N/A","4260","$582,500","Cloud-based communication and collaboration solutions, including voice, video, messaging, and contact center services.","","","http://www.ringcentral.com","http://ir.ringcentral.com","https://www.sec.gov/Archives/edgar/data/1384905/000119312513346260/d310247ds1.htm","https://www.sec.gov/Archives/edgar/data/1384905/000138490524000013/rng-20231231.htm"
"Riskified","RSKD","$4.48","$703,000,000","Jun 2025","$81,060,000","$324,240,000","$335,825,000","2.96%","2.17","156,919,643","2021","2012","Eido Gal, Assaf Feldman, and Shaked Zin","Tel Aviv, Israel","-$12,390,000","-$49,560,000","6.32%","-15.28%","-$11,630,000","-$46,520,000","-22.34%","-14.35%","$339,120,000","-19.68%","$27,530,000.00","Qumra Capital, Pitango Venture Capital, Genesis Partners","$228 million","673","$481,800","Fraud prevention and chargeback protection solutions for e-commerce businesses.","","","http://www.riskified.com","http://ir.riskified.com","",""
"Rubrik","RBRK","$75.00","$14,809,000,000","Apr 2025","$278,480,000","$1,113,920,000","$977,710,000","48.67%","13.29","197,453,333","2024","2014","Bipul Sinha, Arvind Jain, Soham Mazumdar, Arvind Nithrakashyap","Palo Alto, CA","-$85,020,000","-$340,080,000","88.18%","-30.53%","-$102,100,000","-$408,400,000","86.05%","-36.66%","$762,060,000","25.69%","$332,428,000.00","Lightspeed Venture Partners, Greylock Partners, Bain Capital Ventures","$550 million","3200","$348,100","Cloud data management platform that simplifies data protection, recovery, and management across hybrid environments.","","","http://www.rubrik.com","http://ir.rubrik.com","https://www.sec.gov/Archives/edgar/data/1943896/000119312524083525/d359771ds1.htm",""
"Rumble","RUM","$7.45","$2,525,000,000","Jun 2025","$25,080,000","$100,320,000","$104,076,612","11.64%","25.17","338,926,174","2021","2016","Nikola Mrkšić, Adam Cann","San Francisco, California, United States","-$25,840,000","-$103,360,000","26.65%","-103.03%","-$30,220,000","-$120,880,000","-12.86%","-120.49%","$283,810,000","84.01%","$1,800,553.00","Sequoia Capital, Accel Partners","$60 million","135","$743,100","Video hosting, sharing, and monetization for content creators and businesses.","","","http://www.rumble.com","http://investors.rumble.com","https://www.sec.gov/Archives/edgar/data/1830081/000121390021005460/fs2021_cfacqcorp6.htm","https://www.sec.gov/Archives/edgar/data/1830081/000121390024026599/ea0202455-10k_rumble.htm"
"Sabre","SABR","$1.86","$734,000,000","Jun 2025","$687,150,000","$2,748,600,000","$2,943,204,000","-1.14%","0.27","394,623,656","2014","1960","American Airlines","Ventura, California, United States","$108,740,000","$434,960,000","60.28%","15.82%","-$256,360,000","-$1,025,440,000","-267.49%","-37.31%","$426,570,000","-36.34%","$5,117,614,000.00","N/A","N/A","6253","$439,600","Technology solutions for the travel and tourism industry, including global distribution systems, airline and hospitality software, and travel management solutions.","","","http://www.sabre.com","http://investors.sabre.com","https://www.sec.gov/Archives/edgar/data/1597033/000119312514015201/d652688ds1.htm","https://www.sec.gov/Archives/edgar/data/1597033/000159703324000020/sabr-20231231.htm"
"Salesforce","CRM","$239.31","$227,823,000,000","Jul 2025","$10,240,000,000","$40,960,000,000","$39,502,000,000","9.77%","5.56","951,999,499","2004","1999","Marc Benioff, Parker Harris, Dave Moellenhoff, Frank Dominguez","San Francisco, California, United States","$3,150,000,000","$12,600,000,000","13.05%","30.76%","$1,890,000,000","$7,560,000,000","32.05%","18.46%","$15,370,000,000","21.65%","$11,392,000,000.00","Sequoia Capital","$64 million","76453","$535,800","Customer relationship management (CRM) software with a focus on enterprise. One of the first successful SaaS companies","","","http://www.salesforce.com","http://investor.salesforce.com","https://www.sec.gov/Archives/edgar/data/1108524/000119312503096073/ds1.htm","https://www.sec.gov/Archives/edgar/data/1108524/000110852424000005/crm-20240131.htm"
"Samsara","IOT","$39.48","$22,647,000,000","Aug 2025","$391,480,000","$1,565,920,000","$1,335,357,000","30.41%","14.46","573,632,219","2021","2015","Sanjit Biswas, John Bicket, and John Sleiter","San Francisco, California, United States","-$21,220,000","-$84,880,000","60.38%","-5.42%","-$16,800,000","-$67,200,000","66.14%","-4.29%","$701,800,000","4.34%","$80,278,000.00","Andreessen Horowitz, General Catalyst, Tiger Global Management","$930 million","3500","$447,400","Fleet management and industrial IoT solutions, including GPS tracking, real-time monitoring, and data analytics.","","","http://www.samsara.com","http://investors.samsara.com","https://www.sec.gov/Archives/edgar/data/1642896/000119312521334578/d261594ds1.htm","https://www.sec.gov/Archives/edgar/data/1642896/000164289624000016/iot-20240203.htm"
"Semrush","SEMR","$7.41","$1,102,000,000","Jun 2025","$108,890,000","$435,560,000","$413,962,000","19.73%","2.53","148,717,949","2021","2008","Oleg Shchegolev, Dmitry Melnikov","Boston, Massachusetts, United States","-$2,130,000","-$8,520,000","-142.46%","-1.96%","-$6,570,000","-$26,280,000","-495.84%","-6.03%","$258,550,000","8.35%","$12,271,000.00","Greycroft, e.ventures, Siguler Guff & Company","$40 million","1561","$279,000","Tools for SEO, content marketing, social media marketing, digital advertising, and competitive website research.","","","http://www.semrush.com","http://investors.semrush.com","https://www.sec.gov/Archives/edgar/data/1831840/000162828021003658/semrushforms-1.htm","https://www.sec.gov/Archives/edgar/data/1831840/000162828024009657/semr-20231231.htm"
"SentinelOne","S","$17.87","$6,133,000,000","Jul 2025","$242,180,000","$968,720,000","$907,381,000","21.74%","6.33","343,200,895","2021","2013","Tomer Weingarten, Almog Cohen, Ehud Shamir, and Itay Yanovski","Mountain View, California, United States","-$64,470,000","-$257,880,000","6.11%","-26.62%","-$72,020,000","-$288,080,000","-4.10%","-29.74%","$810,820,000","14.50%","$0.00","Insight Partners, Tiger Global Management, Third Point Ventures","$696 million","2700","$358,800","Endpoint security platform that uses AI to provide threat prevention, detection, and response.","","","http://www.sentinelone.com","http://investors.sentinelone.com","https://www.sec.gov/Archives/edgar/data/1583708/000162828021011624/sentineloneincs-1initialpu.htm","https://www.sec.gov/Archives/edgar/data/1583708/000158370824000016/s-20240131.htm"
"ServiceNow","NOW","$932.01","$193,858,000,000","Jun 2025","$3,220,000,000","$12,880,000,000","$12,057,000,000","22.38%","15.05","207,999,914","2012","2004","Fred Luddy","Santa Clara, California, United States","$530,000,000","$2,120,000,000","40.96%","16.46%","$385,000,000","$1,540,000,000","46.95%","11.96%","$6,130,000,000","13.28%","$2,278,000,000.00","JMI Equity, Sequoia Capital","$83.7 million","26293","$489,900","Solutions for IT service management, IT operations management, and IT business management.","","","http://www.servicenow.com","http://www.servicenow.com/company/investor-relations.html","https://www.sec.gov/Archives/edgar/data/1373715/000119312512280645/d301887ds1a.htm","https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/now-20231231.htm"
"Shopify","SHOP","$147.22","$191,323,000,000","Jun 2025","$2,680,000,000","$10,720,000,000","$10,014,000,000","31.05%","17.85","1,299,572,069","2015","2006","Tobias Lütke, Daniel Weinand, Scott Lake","Ottawa, Canada","$379,000,000","$1,516,000,000","59.24%","14.14%","$906,000,000","$3,624,000,000","429.82%","33.81%","$5,820,000,000","15.91%","$1,126,000,000.00","OMERS Ventures, Bessemer Venture Partners, FirstMark Capital, Felicis Ventures","$122 million","8100","$1,323,500","E-commerce platform for the creation of online storefronts, management of inventory, processing payments, and tracking sales.","","","http://www.shopify.com","http://investors.shopify.com","",""
"Similarweb","SMWB","$10.00","$849,000,000","Jun 2025","$70,970,000","$283,880,000","$268,347,000","17.03%","2.99","84,900,000","2021","2007","Or Offer, Nir Cohen, and Shlomi Hod","Tel Aviv, Israel","-$2,320,000","-$9,280,000","-203.01%","-3.27%","-$11,850,000","-$47,400,000","-1505.56%","-16.70%","$59,340,000","-3.96%","$39,732,000.00","Viola Growth, Saban Ventures, Naspers, Insight Partners","$240 million","1085","$261,600","Insights and analytics on website traffic, audience behavior, and digital marketing strategies.","","","http://www.similarweb.com","http://ir.similarweb.com","",""
"Snowflake","SNOW","$215.95","$73,164,000,000","Jul 2025","$1,140,000,000","$4,560,000,000","$3,839,761,000","31.78%","16.04","338,800,648","2020","2012","Benjamin Christian, Thierry Cruanes, Marcin Zukowski","San Mateo, California, United States","-$281,580,000","-$1,126,320,000","12.96%","-24.70%","-$298,020,000","-$1,192,080,000","5.96%","-26.14%","$3,590,000,000","11.03%","$2,685,270,000.00","Sequoia Capital, Sutter Hill Ventures, ICONIQ Capital","$1.4 billion.","8240","$553,400","Data warehousing platform for large amounts of data and machine learning enablement.","","","http://www.snowflake.com","http://investors.snowflake.com","https://www.sec.gov/Archives/edgar/data/1640147/000162828020013010/snowflakes-1.htm","https://www.sec.gov/Archives/edgar/data/1640147/000164014724000101/snow-20240131.htm"
"SoundHound AI","SOUN","$14.69","$5,989,000,000","Jun 2025","$42,680,000","$170,720,000","$102,228,000","217.06%","35.08","407,692,308","2022","2005","Keyvan Mohajer, Majid Emami","Santa Clara, California, United States","-$38,920,000","-$155,680,000","-75.54%","-91.19%","-$74,720,000","-$298,880,000","-100.21%","-175.07%","$230,340,000","15.08%","$4,350,000.00","Khosla Ventures, NVIDIA, Samsung Catalyst Fund","$215 million","842","$202,800","Voice recognition technology to identify songs, provide lyrics, and offer music recommendations.","","","http://www.soundhound.com","http://investors.soundhound.com","https://www.sec.gov/Archives/edgar/data/1840856/000121390021009092/fs12021_archimedes.htm","https://www.sec.gov/Archives/edgar/data/1840856/000184085624000013/soun-20231231.htm"
"Spok Holdings","SPOK","$17.35","$357,000,000","Jun 2025","$35,690,000","$142,760,000","$139,038,000","5.01%","2.50","20,576,369","2002","1965","Vincent D. Kelly","Springfield, Virginia, United States","$6,270,000","$25,080,000","6.40%","17.57%","$4,550,000","$18,200,000","32.91%","12.75%","$20,240,000","-15.22%","$8,773,000.00","N/A","N/A","418","$341,500","Communication solutions for healthcare organizations, including secure messaging, call center management, and emergency notification systems.","","","http://www.spok.com","http://investors.spok.com","","https://www.sec.gov/Archives/edgar/data/1289945/000128994524000010/spok-20231231.htm"
"Spotify","SPOT","$704.06","$144,126,000,000","Jun 2025","$4,690,000,000","$18,760,000,000","$18,599,914,800","10.14%","7.68","204,706,985","2018","2006","Daniel Ek, Martin Lorentzon","Stockholm, Sweden","$470,230,000","$1,880,920,000","41.89%","10.03%","-$96,290,000","-$385,160,000","-131.39%","-2.05%","$7,670,000,000","38.40%","$2,240,319,600.00","Sequoia Capital, Technology Crossover Ventures, Accel Partners","$2.6 billion","7691","$2,439,200","B2C music streaming platform with vast library of songs, playlist functionality, discovery tools for new music.","","","http://www.spotify.com","http://investors.spotify.com","",""
"Sprinklr","CXM","$7.79","$1,902,000,000","Jul 2025","$212,040,000","$848,160,000","$820,768,000","7.52%","2.24","244,159,178","2021","2009","Ragy Thomas","New York City, New York, United States","$16,440,000","$65,760,000","213.60%","7.75%","$12,620,000","$50,480,000","585.23%","5.95%","$473,990,000","1.18%","$48,705,000.00","Battery Ventures, ICONIQ Capital, Silver Lake","$228 million","3589","$236,300","Enterprise social media management, customer interaction management, and marketing campaigns.","","","http://www.sprinklr.com","http://investors.sprinklr.com","https://www.sec.gov/Archives/edgar/data/1569345/000119312521177215/d58050ds1.htm","https://www.sec.gov/Archives/edgar/data/1569345/000156934524000019/cxm-20240131.htm"
"Sprout Social","SPT","$14.41","$848,000,000","Jun 2025","$111,780,000","$447,120,000","$430,795,000","12.46%","1.90","58,848,022","2019","2010","Justyn Howard, Aaron Rankin, Gil Lara","Chicago, Illinois, United States","-$10,260,000","-$41,040,000","26.62%","-9.18%","-$11,980,000","-$47,920,000","29.05%","-10.72%","$101,530,000","8.93%","$43,290,000.00","Goldman Sachs, New Enterprise Associates, Future Fund, Lightbank","$111 million","1322","$338,200","Social media management platform that helps businesses manage, schedule, and analyze their social media content.","","","http://www.sproutsocial.com","http://investors.sproutsocial.com","https://www.sec.gov/Archives/edgar/data/1517375/000162828019012563/sproutsocials-1.htm","https://www.sec.gov/Archives/edgar/data/1517375/000151737524000020/spt-20231231.htm"
"SPS Commerce","SPSC","$107.93","$4,091,000,000","Jun 2025","$187,400,000","$749,600,000","$703,542,000","22.01%","5.46","37,904,197","2010","1987","Gary W. Anderson, Roger Anderson","Minneapolis, Minnesota, United States","$40,970,000","$163,880,000","25.34%","21.86%","$19,730,000","$78,920,000","9.43%","10.53%","$107,600,000","-60.41%","$12,468,000.00","Battery Ventures, Split Rock Partners","$23 million","2783","$269,300","Supply chain management software for streamlined operations and improving collaboration with trading partners.","","","http://www.spscommerce.com","http://investors.spscommerce.com","https://www.sec.gov/Archives/edgar/data/1092699/000095012309068120/c54716sv1.htm","https://www.sec.gov/Archives/edgar/data/1092699/000109269924000012/spsc-20231231.htm"
"SS&C Technologies","SSNC","$88.46","$21,604,000,000","Jun 2025","$1,540,000,000","$6,160,000,000","$6,046,200,000","5.88%","3.51","244,223,378","2010","1986","Bill Stone","Windsor, Connecticut, United States","$553,700,000","$2,214,800,000","11.84%","35.95%","$180,800,000","$723,200,000","-4.99%","11.74%","$480,300,000","3.80%","$7,184,700,000.00","The Carlyle Group, Stone Point Capital","N/A","26800","$229,900","Solutions for financial services firms, including portfolio management, trading, accounting, and reporting.","","","http://www.ssctech.com","http://investor.ssctech.com","https://www.sec.gov/Archives/edgar/data/1402436/000095013507003645/b65660s1sv1.htm","https://www.sec.gov/Archives/edgar/data/1402436/000095017024022080/ssnc-20231231.htm"
"Synopsys","SNPS","$425.97","$79,123,000,000","Apr 2025","$1,600,000,000","$6,400,000,000","$4,617,050,000","10.28%","12.36","185,747,823","1992","1986","Aart de Geus, David Gregory and Bill Krieger","Sunnyvale, California, United States","$417,990,000","$1,671,960,000","6.84%","26.12%","$345,330,000","$1,381,320,000","18.22%","21.58%","$14,260,000,000","759.43%","$684,457,000.00","Green Pine Capital Partners, New Enterprise Associates","$300 million","20000","$320,000","Electronic design automation (EDA) software that streamlines the design, verification, and manufacturing processes for semiconductor and electronic systems.","","","http://www.synopsys.com","http://investor.synopsys.com","","https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/snps-20231031.htm"
"Teads Holding","TEAD","$1.75","$166,000,000","Jun 2025","$343,100,000","$1,372,400,000","$1,088,216,000","60.21%","0.12","94,857,143","2021","2006","Yaron Galai, Ori Lahav","New York City, United States","$16,550,000","$66,200,000","707.97%","4.82%","-$14,310,000","-$57,240,000","-550.89%","-4.17%","$166,140,000","2.13%","$15,816,000.00","Lightspeed Venture Partners, Index Ventures, Gemini Israel Ventures","$99 million","1800","$762,400","Content discovery platform that recommends personalized articles, videos, and other content to users based on their interests and browsing behavior.","","","http://www.teads.com","https://investors.teads.com","https://www.sec.gov/Archives/edgar/data/1454938/000110465921086945/tm2113258-10_s1.htm","https://www.sec.gov/Archives/edgar/data/1454938/000145493824000024/outbrain-20231231.htm"
"TechTarget","TTGT","$6.55","$468,000,000","Jun 2025","$119,940,000","$479,760,000","–","90.48%","0.98","71,450,382","2007","1999","Greg Strakosch, Don Hawk","Newton, Massachusetts, United States","$13,150,000","$52,600,000","546.14%","10.96%","-$398,660,000","-$1,594,640,000","-891.62%","-332.38%","$61,730,000","658.75%","$435,983,000.00","Technology Crossover Ventures, Polaris Venture Partners","$70 million","2100","$228,500","Platform for targeted marketing, sales, and audience intelligence.","","","http://www.techtarget.com","http://investor.techtarget.com","https://www.sec.gov/Archives/edgar/data/1293282/000104746907000760/a2175858zs-1.htm","https://www.sec.gov/Archives/edgar/data/1293282/000095017024022035/ttgt-20231231.htm"
"Tenable","TENB","$29.62","$3,587,000,000","Jun 2025","$247,300,000","$989,200,000","$923,197,000","11.78%","3.63","121,100,608","2018","2002","Ron Gula, Jack Huffard, Renaud Deraison, and Marcus Ranum","Columbia, Maryland, United States","$5,460,000","$21,840,000","28.21%","2.21%","-$14,710,000","-$58,840,000","-0.92%","-5.95%","$386,510,000","-20.63%","$419,730,000.00","Accel Partners, Insight Venture Partners","$300 million","1872","$528,400","Vulnerability management solutions to help organizations identify and address cybersecurity risks.","","","http://www.tenable.com","http://investors.tenable.com","https://www.sec.gov/Archives/edgar/data/1660280/000119312518209705/d548092ds1.htm","https://www.sec.gov/Archives/edgar/data/1660280/000166028024000033/tenb-20231231.htm"
"The Trade Desk","TTD","$44.90","$21,951,000,000","Jun 2025","$694,040,000","$2,776,160,000","$2,679,088,000","18.73%","7.91","488,886,414","2016","2009","Jeff Green, Dave Pickles","Ventura, California, United States","$143,480,000","$573,920,000","24.12%","20.67%","$90,130,000","$360,520,000","6.00%","12.99%","$1,690,000,000","12.00%","$312,215,000.00","Hillhouse Capital Group, Wellington Management Company","$20 million","3522","$788,200","Demand-side platform for digital advertising, offering features like real-time bidding and audience targeting.","","","http://www.thetradedesk.com","http://investors.thetradedesk.com","https://www.sec.gov/Archives/edgar/data/1671933/000104746916015272/a2229540zs-1a.htm","https://www.sec.gov/Archives/edgar/data/1671933/000167193324000014/ttd-20231231.htm"
"Thryv","THRY","$12.12","$533,000,000","Jun 2025","$210,470,000","$841,880,000","$758,289,000","-6.08%","0.63","43,976,898","2020","2019","Joe Walsh","Dallas, Texas, United States","$38,950,000","$155,800,000","-11.13%","18.51%","$13,930,000","$55,720,000","151.10%","6.62%","$10,840,000","-30.16%","$284,337,000.00","TPG Capital, Vista Equity Partners","$1.6 billion","3001","$280,500","Operations management, including customer communication, online presence, appointment scheduling, and payment processing for SMBs.","","","http://www.thryv.com","http://investor.thryv.com","https://www.sec.gov/Archives/edgar/data/1556739/000114036120019569/nt10007762x12_s1.htm","https://www.sec.gov/Archives/edgar/data/1556739/000155673924000015/thry-20231231.htm"
"Toast","TOST","$39.96","$23,297,000,000","Jun 2025","$1,550,000,000","$6,200,000,000","$5,530,000,000","24.80%","3.76","583,008,008","2021","2015","Steve Fredette, Aman Narang, Jonathan Grimm","Boston, Massachusetts, United States","$96,000,000","$384,000,000","405.26%","6.19%","$80,000,000","$320,000,000","471.43%","5.16%","$1,700,000,000","39.62%","$24,000,000.00","T. Rowe Price, Tiger Global Management, Bessemer Venture Partners","$910 million","5700","$1,087,700","POS platform for restaurants to manage orders, payments, menus, and employee operations.","","","http://www.toasttab.com","http://investors.toasttab.com","https://www.sec.gov/Archives/edgar/data/1650164/000119312521258447/d166297ds1.htm","https://www.sec.gov/Archives/edgar/data/1650164/000165016424000084/tost-20231231.htm"
"Twilio","TWLO","$102.11","$15,667,000,000","Jun 2025","$1,230,000,000","$4,920,000,000","$4,729,372,000","13.48%","3.18","153,432,573","2016","2008","Jeff Lawson, Evan Cooke, John Wolthuis","San Francisco, California, United States","$86,830,000","$347,320,000","162.89%","7.06%","$22,420,000","$89,680,000","170.38%","1.82%","$2,540,000,000","-18.41%","$1,110,147,000.00","Union Square Ventures, Fidelity Investments, T. Rowe Price, Bessemer Venture Partners","$233 million","5535","$888,900","Cloud communications platform to integrate messaging, voice, and video capabilities into applications.","","","http://www.twilio.com","http://investors.twilio.com","https://www.sec.gov/Archives/edgar/data/1447669/000104746916013448/a2227414zs-1.htm","https://www.sec.gov/Archives/edgar/data/1447669/000144766924000034/twlo-20231231.htm"
"Udemy","UDMY","$7.13","$1,072,000,000","Jun 2025","$199,880,000","$799,520,000","$795,538,000","2.84%","1.34","150,350,631","2021","2010","Eren Bali, Oktay Caglar, Gagan Biyani","San Francisco, California, United States","$5,380,000","$21,520,000","122.55%","2.69%","$6,260,000","$25,040,000","119.69%","3.13%","$391,980,000","-6.88%","$10,817,000.00","Bessemer Venture Partners, Insight Partners, Norwest Venture Partners","$223 million","1246","$641,700","Online learning platform that offers a wide range of courses on various subjects, and enables course creators to reach their audience.","","","http://www.udemy.com","http://investors.udemy.com","https://www.sec.gov/Archives/edgar/data/1607939/000119312521291460/d163445ds1.htm","https://www.sec.gov/Archives/edgar/data/1607939/000160793924000037/udmy-20231231.htm"
"UiPath","PATH","$11.57","$6,144,000,000","Jul 2025","$361,730,000","$1,446,920,000","$1,451,176,000","14.38%","4.25","531,028,522","2021","2005","Daniel Dines, Marius Tirca, and Marius Ionescu","New York, United States","-$14,840,000","-$59,360,000","82.78%","-4.10%","$1,580,000","$6,320,000","101.84%","0.44%","$1,450,000,000","-16.97%","$77,817,000.00","Accel, Alkeon Capital Management, Coatue Management, Dragoneer Investment Group, IVP (Institutional Venture Partners), Sequoia Capital, Tiger Global Management","$1.2 billion","3868","$374,100","Platform for robotic process automation (RPA), allowing customers to automate repetitive tasks and streamline workflows.","","","http://www.uipath.com","http://ir.uipath.com","https://www.sec.gov/Archives/edgar/data/1734722/000119312521094920/d98556ds1.htm","https://www.sec.gov/Archives/edgar/data/1734722/000173472224000011/path-20240131.htm"
"Upland Software","UPLD","$2.48","$71,000,000","Jun 2025","$53,380,000","$213,520,000","$267,713,000","-23.01%","0.33","28,629,032","2014","2010","Tim Mattox, Craig Harris","Austin, Texas, United States","$10,470,000","$41,880,000","24.23%","19.61%","-$13,030,000","-$52,120,000","-13.90%","-24.41%","$41,010,000","-82.35%","$291,956,000.00","K1 Investment Management, Vista Equity Partners","$50 million","998","$213,900","Enterprise project management software","","","http://www.uplandsoftware.com","http://investor.uplandsoftware.com","https://www.sec.gov/Archives/edgar/data/1505155/000119312514332241/d710680ds1.htm","https://www.sec.gov/Archives/edgar/data/1505155/000150515524000013/upld-20231231.htm"
"Varonis","VRNS","$57.16","$6,405,000,000","Jun 2025","$152,160,000","$608,640,000","$595,168,000","16.74%","10.52","112,053,884","2014","2005","Yaki Faitelson, Ohad Korkus","New York City, United States","-$33,980,000","-$135,920,000","-30.86%","-22.33%","-$35,820,000","-$143,280,000","-49.59%","-23.54%","$807,450,000","28.72%","$754,406,000.00","Accel Partners, Evergreen Venture Partners","$34 million","2406","$253,000","Data security and analytics, threat detection, and automation of data management.","","","http://www.varonis.com","http://ir.varonis.com","https://www.sec.gov/Archives/edgar/data/1361113/000119312513405885/d587800ds1.htm","https://www.sec.gov/Archives/edgar/data/1361113/000162828024003498/vrns-20231231.htm"
"Vertex","VERX","$25.52","$4,070,000,000","Jun 2025","$184,560,000","$738,240,000","$710,512,000","14.56%","5.51","159,482,759","2020","2018","David DeWalt","King of Prussia, Pennsylvania, United States","$3,590,000","$14,360,000","-59.78%","1.95%","-$961,000","-$3,844,000","-118.61%","-0.52%","$284,390,000","-14.90%","$351,887,000.00","Sequoia Capital, Accel","$131 million","1900","$388,500","Tax technology solutions, including tax compliance, tax determination, and tax data management.","","","http://www.vertexinc.com","http://ir.vertexinc.com","https://www.sec.gov/Archives/edgar/data/1806837/000104746920003952/a2241987zs-1.htm","https://www.sec.gov/Archives/edgar/data/1806837/000155837024002192/verx-20231231x10k.htm"
"Vimeo","VMEO","$7.73","$1,284,000,000","Jun 2025","$104,650,000","$418,600,000","$415,404,000","0.26%","3.07","166,106,080","2021","2004","Jake Lodwick, Zach Klein","New York City, United States","$5,790,000","$23,160,000","-27.30%","5.53%","$6,280,000","$25,120,000","-37.90%","6.00%","$302,960,000","-2.45%","–","Highland Capital Partners, Thrive Capital","$134 million","1102","$379,900","Video-sharing platform that allows users to upload, share, and watch videos with customizable privacy settings.","","","http://www.vimeo.com","http://investors.vimeo.com","https://www.sec.gov/Archives/edgar/data/1837686/000110465921072526/tm2116929-1_s1.htm","https://www.sec.gov/Archives/edgar/data/1837686/000183768624000021/vmeo-20231231.htm"
"VTEX","VTEX","$4.20","$764,000,000","Jun 2025","$58,790,000","$235,160,000","$230,475,000","4.00%","3.25","181,904,762","2021","1999","Geraldo Thomaz, Mariano Gomide de Faria, and Ricardo Piovan.","Rio de Janeiro, Brazil","$3,740,000","$14,960,000","217.50%","6.36%","$2,990,000","$11,960,000","-54.42%","5.09%","$210,790,000","-2.14%","$3,312,000.00","SoftBank Group Corp, Gávea Investimentos, Constellation Software","$365 million","1368","$171,900","E-commerce platform with features like order management, inventory control, and customer relationship management.","","","http://www.vtex.com","http://www.investors.vtex.com","",""
"Weave Communications","WEAV","$7.66","$590,000,000","Jun 2025","$58,470,000","$233,880,000","$212,950,000","15.59%","2.52","77,023,499","2021","2014","Brandon Rodman, Jared Rodman","Lehi, Utah, United States","-$6,300,000","-$25,200,000","6.33%","-10.77%","-$8,710,000","-$34,840,000","-1.85%","-14.90%","$77,840,000","-21.40%","$56,057,000.00","Kleiner Perkins, Bessemer Venture Partners","$200 million","854","$273,900","Communication platform with features like messaging, phone calls, and appointment scheduling.","","","http://www.getweave.com","http://investors.getweave.com","https://www.sec.gov/Archives/edgar/data/1609151/000162828021020169/weaves-1.htm","https://www.sec.gov/Archives/edgar/data/1609151/000160915124000021/weav-20231231.htm"
"Wix","WIX","$178.00","$9,771,000,000","Jun 2025","$489,930,000","$1,959,720,000","$1,868,709,000","12.43%","4.99","54,893,258","2013","2006","Avishai Abrahami, Nadav Abrahami, Giora Kaplan","Tel Aviv, Israel","$51,810,000","$207,240,000","41.97%","10.57%","$57,700,000","$230,800,000","46.02%","11.78%","$1,110,000,000","41.65%","$969,946,000.00","Benchmark Capital, Mangrove Capital Partners, Bessemer Venture Partners","$61 million","5326","$368,000","Website builder software (CMS) that allows for the creation of customized websites using drag-and-drop tools, templates, and various widgets and plugins.","","","http://www.wix.com","http://investors.wix.com","",""
"Workday","WDAY","$219.01","$58,476,000,000","Jul 2025","$2,350,000,000","$9,400,000,000","$8,959,000,000","12.61%","6.22","267,001,507","2012","2005","David Duffield, Aneel Bhusri","Pleasanton, California, United States","$330,000,000","$1,320,000,000","72.77%","14.04%","$228,000,000","$912,000,000","72.73%","9.70%","$8,190,000,000","11.03%","$3,362,000,000.00","Greylock Partners, New Enterprise Associates (NEA), T. Rowe Price","$250 million","19517","$481,600","Applications for human resources, finance, business planning, workforce management.","","","http://www.workday.com","http://investor.workday.com","https://www.sec.gov/Archives/edgar/data/1327811/000119312512375787/d385110ds1.htm","https://www.sec.gov/Archives/edgar/data/1327811/000132781124000044/wday-20240131.htm"
